,Id,Name,Nation,Team,League,Born,Mac,Pos,Dripling,Press,Pas,Şut,Gole_katkı,Dakika
645,645,Emmanuel Dennis,NGA,Nott'ham Forest,Premier League,1997,11,FW,0.25298373415536446,0.1379421366281979,0.15857315168517896,0.07102564102564102,0.04521321321321321,0.19671338811019817
652,652,Cyriel Dessers,NGA,Cremonese,Serie A,1994,18,FW,0.14265674318697424,0.04978259277179808,0.11482131983373903,0.033612423612423614,0.096,0.5814403093281778
654,654,Mattia Destro,ITA,Empoli,Serie A,1991,10,FW,0.05120870293392721,0.10883733341626586,0.0704942317100998,0.13092421092421092,0.032,0.21991300144997583
655,655,Gerard Deulofeu,ESP,Udinese,Serie A,1994,16,FW,0.2579968439522057,0.0846817980273759,0.36714476513106314,0.11631701631701631,0.09042642642642643,0.5848235862735621
657,657,Samuel Di Carmine,ITA,Cremonese,Serie A,1988,2,FWMF,0.20934789092586048,0.013407258064516127,0.09296789715996341,0.0,0.0,0.01304978250362494
658,658,Federico Di Francesco,ITA,Lecce,Serie A,1994,22,FWMF,0.14490451247295935,0.06742975293279559,0.16554213009121022,0.11017703017703016,0.04160960960960961,0.5451909134847752
661,661,�ngel Di Mar�a,ARG,Juventus,Serie A,1988,12,FW,0.18254023878575432,0.12196815387892629,0.25215167046545717,0.14187110187110186,0.11341741741741741,0.2933784436926051
662,662,Boulaye Dia,SEN,Salernitana,Serie A,1996,20,FW,0.14175987331027148,0.040114486684488845,0.09884734982684598,0.1253871353871354,0.271015015015015,0.7075882068632189
663,663,Moussa Diaby,FRA,Leverkusen,Bundesliga,1999,20,FW,0.17888216577375354,0.06086774597694161,0.2539527088315047,0.0859049959049959,0.23360960960960964,0.7989366843885934
669,669,Habib Diallo,SEN,Strasbourg,Ligue 1,1995,22,FW,0.1334584341428552,0.06462927383330999,0.09325367659567418,0.18880740880740882,0.32,0.7423876268728854
675,675,St�phane Diarra,FRA,Lorient,Ligue 1,1998,19,FW,0.2592980160743236,0.21537859505920315,0.14504248838013967,0.10170478170478171,0.032,0.3963267278878685
681,681,Luis D�az,COL,Liverpool,Premier League,1997,8,FW,0.2792663044397869,0.14251947489290034,0.2308711635144022,0.16612738612738615,0.11341741741741741,0.29579507008216527
682,682,Justin Diehl,GER,K�ln,Bundesliga,2004,1,FW,0.0035868755842139452,0.0,0.005538904402276345,0.0,0.0,0.004349927501208313
683,683,Bamba Dieng,SEN,Marseille,Ligue 1,2000,10,FWMF,0.15485634697560163,0.22103369207271956,0.16229961080499916,0.24165501165501163,0.032,0.09328177863702272
684,684,Bamba Dieng,SEN,Lorient,Ligue 1,2000,2,FWMF,0.004650737077807334,0.0029159851672098556,0.01102651329189834,0.0,0.0,0.04494925084581924
686,686,Florian Dietz,GER,K�ln,Bundesliga,1998,11,FW,0.14364325615243279,0.06881569606254445,0.0875688339795838,0.15716688716688715,0.032,0.1904301594973417
692,692,Eren Dink�i,GER,Werder Bremen,Bundesliga,2001,7,FWMF,0.14836330878852844,0.085851873685697,0.11175624594712796,0.0,0.0,0.06331561140647655
694,694,Lois Diony,FRA,Angers,Ligue 1,1992,8,FW,0.10968020529554699,0.03687243149531792,0.13958793953705578,0.042462672462672456,0.032,0.21072982116964717
700,700,Malcom Abdulai Ares Djalo,ESP,Athletic Club,La Liga,2001,1,FW,0.017157871485322967,0.0010080645161290322,0.025606793545847287,0.0,0.0,0.0019333011116481392
707,707,Moussa Djitte,SEN,Ajaccio,Ligue 1,1999,2,FW,0.018572169348524965,0.012125696673381611,0.03855827490524928,0.0,0.0,0.01594973417109715
709,709,Alan Do Marcolino,GAB,Rennes,Ligue 1,2002,1,FW,0.0002850017812611329,0.0020161290322580645,0.007786424487030909,0.0,0.0,0.0033832769453842437
710,710,Ben Doak,SCO,Liverpool,Premier League,2005,2,FW,0.16177839714341866,0.48496981624353497,0.11318764875184259,0.0,0.0,0.01208313194780087
711,711,Ritsu Doan,JPN,Freiburg,Bundesliga,1998,20,FWMF,0.2401059231785069,0.17475038445172797,0.18931284850076008,0.12125370125370126,0.07481081081081081,0.7167713871435476
717,717,Kasper Dolberg,DEN,Sevilla,La Liga,1997,4,FW,0.1527594634628282,0.04514685177772021,0.064352182504789,0.04195804195804196,0.027027027027027025,0.09473175447075882
718,718,Kasper Dolberg,DEN,Hoffenheim,Bundesliga,1997,5,FWMF,0.10527946302858807,0.05978086352544136,0.12613709625087186,0.039160839160839164,0.0,0.10246495891735138
731,731,Ckene Doucour�,COM,Lorient,Ligue 1,2002,5,FWMF,0.267408873745825,0.2837379291202393,0.187370728208009,0.0,0.1003003003003003,0.026582890285161916
733,733,Guela Dou�,FRA,Rennes,Ligue 1,2002,1,FW,0.0007125044531528321,0.0030241935483870967,0.01278979898502971,0.0,0.0,0.0033832769453842437
740,740,Dion Drena Beljo,CRO,Augsburg,Bundesliga,2002,5,FW,0.07331816749543466,0.1034030665537727,0.15969283566803621,0.10398790398790399,0.0,0.15756404059932336
743,743,Marvin Ducksch,GER,Werder Bremen,Bundesliga,1994,20,FW,0.11396217437344296,0.048348601177887855,0.18603286529135113,0.1547930447930448,0.14421621621621622,0.8023199613339778
746,746,Shane Duffy,IRL,Fulham,Premier League,1992,4,FWDF,0.0,0.0030241935483870967,0.012281464656540036,0.0,0.0,0.0024166263895601743
747,747,R�my Dugimont,FRA,Auxerre,Ligue 1,1986,10,FWMF,0.1325502454376475,0.12682361626447494,0.2228170656131905,0.0773892773892774,0.04984984984984985,0.051715804736587725
752,752,Jhon Dur�n,COL,Aston Villa,Premier League,2003,1,FW,0.011422496145692431,0.006539572955457755,0.01988130547161553,0.0,0.0,0.003866602223296279
754,754,Hugo Duro,ESP,Valencia,La Liga,1999,15,FWMF,0.08607977235222608,0.045205051894186415,0.07024482476756591,0.0973892773892774,0.032,0.26099565007249875
757,757,Edin D?eko,BIH,Inter,Serie A,1986,21,FW,0.11855122780935065,0.05049753848259824,0.18751070096696582,0.21763245763245764,0.23661261261261265,0.6268728854519091
764,764,Odsonne �douard,FRA,Crystal Palace,Premier League,1998,20,FWMF,0.13004138180405286,0.11236132078192948,0.10593227937454734,0.11964152964152966,0.10621021021021021,0.527791203479942
765,765,Samuel Edozie,ENG,Southampton,Premier League,2003,15,FWMF,0.2756990099448753,0.07600267250624108,0.09563275357127234,0.004662004662004662,0.0,0.26099565007249875
771,771,Chidera Ejuke,NGA,Hertha BSC,Bundesliga,1998,15,FWMF,0.29842935445678365,0.06381575131022173,0.20186880352083011,0.0581018081018081,0.020420420420420422,0.38134364427259543
773,773,Hugo Ekitike,FRA,Paris S-G,Ligue 1,2002,16,FW,0.15561518107239025,0.12000816800111228,0.1364926302472965,0.13592074592074593,0.11822222222222223,0.35814403093281777
774,774,Emmanuel Ekong,SWE,Empoli,Serie A,2002,2,FWMF,0.0059073819698356785,0.0020161290322580645,0.0069635784076504635,0.0,0.0,0.00918318028032866
775,775,Anthony Elanga,SWE,Manchester Utd,Premier League,2002,13,FW,0.16985536767968934,0.06392030407978379,0.1568975845192409,0.08367353367353367,0.013813813813813813,0.19139681005316578
779,779,Elif Elmas,MKD,Napoli,Serie A,1999,20,FWMF,0.17248824522368028,0.1007198289484912,0.2677178228028085,0.1794903294903295,0.16660660660660662,0.3977767037216046
784,784,Sepe Elye Wahi,FRA,Montpellier,Ligue 1,2003,19,FW,0.11368775269680131,0.04498572597096976,0.08926043823006455,0.20054558054558055,0.22760360360360363,0.7438376027066216
786,786,Adri Embarba,ESP,Almer�a,La Liga,1992,16,FWMF,0.23872287477682644,0.23147176038255782,0.20694487550455096,0.1227871227871228,0.05242042042042042,0.3794103431609473
787,787,Adri Embarba,ESP,Espanyol,La Liga,1992,1,FW,0.014006701774362619,0.02038711986479872,0.018350754498256558,0.0,0.0,0.016433059449009184
788,788,Breel Embolo,SUI,Monaco,Ligue 1,1997,23,FW,0.17906748115357007,0.07757755187105139,0.16358414844621205,0.2415233415233415,0.3912072072072072,0.7448042532624456
790,790,Youssef En-Nesyri,MAR,Sevilla,La Liga,1997,17,FW,0.08870042550432451,0.09236755417515015,0.06720923954215942,0.214985824985825,0.096,0.3576607056549057
807,807,Abdessamad Ezzalzouli,MAR,Osasuna,La Liga,2001,14,FWMF,0.29992731762585767,0.20523568564059722,0.15664199666691936,0.07852957852957852,0.018618618618618618,0.2837119381343644
816,816,Romain Faivre,FRA,Lorient,Ligue 1,1998,2,FW,0.43998504746066214,0.13137750511689286,0.4469668633185209,0.0717948717948718,0.0,0.05654905751570807
818,818,Radamel Falcao,COL,Rayo Vallecano,La Liga,1986,17,FWMF,0.11942906247463986,0.08598546578084096,0.11684178097019049,0.10368676368676369,0.064,0.22667955534074433
823,823,Ansu Fati,ESP,Barcelona,La Liga,2002,20,FW,0.13776013312453084,0.08987827140785987,0.206828341076662,0.19311913311913312,0.11702102102102102,0.375543740937651
825,825,Cheikh Faye,SEN,Montpellier,Ligue 1,1999,2,FW,0.021017033270036574,0.026728214202831283,0.031621763947564815,0.0,0.0,0.017399710004833254
834,834,Jo�o F�lix,POR,Atl�tico Madrid,La Liga,1999,14,FWMF,0.18139880489131957,0.10794591366577883,0.20029953284795232,0.24421029421029422,0.15322522522522522,0.3136781053649106
837,837,Evan Ferguson,IRL,Brighton,Premier League,2004,6,FW,0.10337802659190351,0.054410651742634895,0.11069434342534502,0.3056876456876457,0.14224624624624627,0.11213146447559208
844,844,Carlos Fern�ndez,ESP,Real Sociedad,La Liga,1996,10,FW,0.14144849337836213,0.09619060599629112,0.16771072128796355,0.09976689976689976,0.0,0.12324794586756888
848,848,Mateo Fern�ndez,ESP,Leeds United,Premier League,2003,2,FWMF,0.0002580839366910122,0.0004715859599147489,0.0007184596561037236,0.0,0.0,0.0009666505558240697
855,855,Fidel,ESP,Elche,La Liga,1989,10,FWMF,0.18557452858716275,0.10347502282125554,0.22547541154209255,0.0,0.013213213213213212,0.19526341227646207
857,857,Roberto Firmino,BRA,Liverpool,Premier League,1991,13,FWMF,0.09269993224518006,0.1407975967363211,0.28119906386028826,0.3035853335853336,0.24141741741741746,0.44852585790236826
864,864,Phil Foden,ENG,Manchester City,Premier League,2000,18,FWDF,0.17363920339090297,0.08522552974541402,0.2724043460206542,0.20786555786555785,0.24442042042042045,0.5045915901401643
865,865,Datro Fofana,CIV,Chelsea,Premier League,2002,1,FWMF,0.010702851711855687,0.0023371792824443734,0.005538904402276345,0.0,0.0,0.007249879168680522
873,873,Pablo Fornals,ESP,West Ham,Premier League,1996,18,FWMF,0.09988951556154194,0.13470586571672463,0.247690833664594,0.07643545643545643,0.032,0.4635089415176413
883,883,Tyrese Francois,AUS,Fulham,Premier League,2000,1,FW,0.00010060362173038229,0.0003024193548387097,0.0008793473832448835,0.0,0.0,0.0
886,886,Ryan Fraser,SCO,Newcastle Utd,Premier League,1994,8,FW,0.0860734550964439,0.09519743736881034,0.1876470300497214,0.0401026901026901,0.0,0.15079748670855486
892,892,Michael Frey,SUI,Schalke 04,Bundesliga,1994,5,FW,0.1556625158441036,0.046723024651330144,0.21825323814111586,0.14191079191079192,0.022822822822822823,0.11068148864185597
896,896,Chris F�hrich,GER,Stuttgart,Bundesliga,1998,19,FWMF,0.22719252296197665,0.19324938952210433,0.1787846503577989,0.08163296163296162,0.128,0.5708071532141131
899,899,Niclas F�llkrug,GER,Werder Bremen,Bundesliga,1993,19,FW,0.08193559922436994,0.05554947318305701,0.21582447985065478,0.18344421344421347,0.42560960960960964,0.8052199130014499
901,901,Manolo Gabbiadini,ITA,Sampdoria,Serie A,1991,19,FWMF,0.09853884363647436,0.05496489662294087,0.1703035371391814,0.16822969822969822,0.1328048048048048,0.5108748187530208
904,904,Adolfo Gaich,ARG,Hellas Verona,Serie A,1999,1,FW,0.21089289241942075,0.11716294070706582,0.11481033514968451,0.0,0.0,0.010633156114064766
905,905,Cody Gakpo,NED,Liverpool,Premier League,1999,3,FW,0.15625703189502554,0.15836254947751296,0.08602207657178354,0.049782649782649784,0.0,0.12276462058965684
913,913,K�vin Gameiro,FRA,Strasbourg,Ligue 1,1987,20,FW,0.13580661402924538,0.08004120158484103,0.17832591698631522,0.2134870534870535,0.22400000000000003,0.6732721121314644
915,915,Ignatius Ganago,CMR,Nantes,Ligue 1,1999,16,FWMF,0.081437189141425,0.05811632489499936,0.07144765960342313,0.13384930384930385,0.11581981981981981,0.4011599806669889
916,916,Ignatius Ganago,CMR,Lens,Ligue 1,1999,4,FW,0.08847804132214745,0.01875,0.07233963593790957,0.0,0.0,0.02803286611889802
917,917,Silv�re Ganvoula M'Boussy,CGO,Bochum,Bundesliga,1996,12,FW,0.17384287398708434,0.06409609202505104,0.24386934287891607,0.03149058149058149,0.0,0.1000483325277912
919,919,�lvaro Garc�a,ESP,Rayo Vallecano,La Liga,1992,18,FWMF,0.15868515953556978,0.14322249048630264,0.21316863353619964,0.14402885402885404,0.13520720720720722,0.7158047365877235
920,920,Borja Garc�a,ESP,Girona,La Liga,1990,3,FWMF,0.08794428053491324,0.09534796508468626,0.14022636942822436,0.14204498204498206,0.032,0.06621556307394877
926,926,Ra�l Garc�a,ESP,Athletic Club,La Liga,1986,20,FWMF,0.1758661265458566,0.13039925802380806,0.16778208225940536,0.12645246645246644,0.05121921921921922,0.2725954567423876
929,929,Alejandro Garnacho,ESP,Manchester Utd,Premier League,2004,11,FW,0.3129991847498865,0.11132743787066704,0.15877767245548685,0.16888300888300892,0.06563363363363363,0.1580473658772354
932,932,S�kou Gassama,SEN,Valladolid,La Liga,1995,1,FW,0.021598684271123395,0.0010080645161290322,0.053795985978690605,0.0,0.0,0.01691638472692122
939,939,Joe Gelhardt,ENG,Leeds United,Premier League,2002,15,FW,0.1711006174467579,0.16443366890226924,0.11076390128178226,0.0773892773892774,0.04984984984984985,0.10198163363943935
943,943,Val�re Germain,FRA,Montpellier,Ligue 1,1990,20,FWMF,0.08969721041140215,0.10215667497502624,0.18547974481843205,0.13953064953064953,0.064,0.2808119864668922
949,949,Morgan Gibbs-White,ENG,Wolves,Premier League,2000,2,FWMF,0.038426754156949905,0.0346161088638029,0.0677115289674256,0.004662004662004662,0.0,0.08651522474625423
957,957,�lvaro Gim�nez,ESP,C�diz,La Liga,1991,1,FW,0.0022964559007588843,0.0017576897035353292,0.0047160583228959,0.0,0.0,0.007733204446592557
961,961,Olivier Giroud,FRA,Milan,Serie A,1986,20,FW,0.11311954431535713,0.04066368943237544,0.12655022178489853,0.052454482454482455,0.24021621621621625,0.652972450459159
962,962,Serge Gnabry,GER,Bayern Munich,Bundesliga,1995,20,FWMF,0.27669291484675507,0.12115802878197163,0.27359600038172605,0.2497643797643798,0.3078198198198198,0.5340744320927985
963,963,Degnand Gnonto,ITA,Leeds United,Premier League,2003,10,FWMF,0.16873675204255256,0.1544359385157735,0.2284302598246322,0.1311913311913312,0.07180780780780781,0.34557757370710485
973,973,Maxi G�mez,URU,Valencia,La Liga,1996,3,FW,0.12768070182189084,0.007560483870967742,0.09162819761175535,0.0,0.0,0.051715804736587725
983,983,Nicol�s Gonz�lez,ARG,Fiorentina,Serie A,1998,11,FWMF,0.06187855934525743,0.006462244437250743,0.15756453463831926,0.055220185220185215,0.09720120120120121,0.21701304978250363
986,986,Roberto Gonz�lez,ESP,Betis,La Liga,2001,2,FWMF,0.1365164518978958,0.05559808116654135,0.1986464132663548,0.0,0.0,0.025616239729337846
989,989,Anthony Gordon,ENG,Everton,Premier League,2001,16,FW,0.15325446554417793,0.1523533747021621,0.0996196635562035,0.1842165942165942,0.096,0.528757854035766
994,994,Amine Gouiri,FRA,Nice,Ligue 1,2000,3,FWMF,0.040455887700707446,0.00531016909566721,0.1196745295169365,0.009261009261009262,0.0,0.10874818753020783
995,995,Amine Gouiri,FRA,Rennes,Ligue 1,2000,17,FW,0.18227224234956227,0.05275826865281556,0.16883678697026436,0.23000441000441002,0.2922042042042042,0.6549057515708071
1003,1003,Demarai Gray,ENG,Everton,Premier League,1996,20,FWMF,0.1996065405450223,0.07785590988277585,0.2071272100925726,0.10929943929943929,0.099003003003003,0.8110198163363944
1006,1006,Jack Grealish,ENG,Manchester City,Premier League,1995,15,FW,0.3371456261376391,0.12005334683418924,0.24717507272159603,0.08008001008001008,0.07961561561561561,0.5021749637506041
1008,1008,Michael Gregoritsch,AUT,Freiburg,Bundesliga,1994,20,FW,0.10719647234862444,0.08389937292976588,0.1448994769947292,0.22793989793989794,0.23541141141141145,0.6979217013049782
1011,1011,Antoine Griezmann,FRA,Atl�tico Madrid,La Liga,1991,20,FWMF,0.16640753714048598,0.15077825319697374,0.28105143905662106,0.20808731808731806,0.21782582582582583,0.611406476558724
1012,1012,Vincenzo Grifo,ITA,Freiburg,Bundesliga,1993,19,FWMF,0.14447858130143423,0.07523484201498555,0.2916816564725747,0.17983430983430984,0.36461261261261263,0.6225229579507008
1021,1021,Sergi Guardiola,ESP,Valladolid,La Liga,1991,14,FW,0.09389648440822597,0.15122705435315584,0.10670709205576041,0.05034965034965035,0.0,0.24214596423392942
1022,1022,Sergi Guardiola,ESP,C�diz,La Liga,1991,2,FW,0.17110177591212877,0.1033164275715903,0.18526511296914935,0.22636363636363635,0.032,0.04591590140164331
1024,1024,Gabriel Gudmundsson,SWE,Lille,Ligue 1,1999,5,FWDF,0.25085696933828305,0.17006460030716455,0.34250771531924934,0.0,0.0,0.05219913001449976
1025,1025,Gon�alo Guedes,POR,Wolves,Premier League,1996,13,FWMF,0.08936515069230765,0.10015976072230483,0.1569861886026532,0.09879039879039878,0.03980780780780781,0.3412276462058965
1026,1026,Axel Gueguin,FRA,Montpellier,Ligue 1,2005,2,FWMF,0.0058230980027819965,0.0018538975415092283,0.015305084021923047,0.0,0.0,0.006283228612856452
1030,1030,Evann Guessand,FRA,Nantes,Ligue 1,2001,21,FWMF,0.2484517566965837,0.13804930484616487,0.1500168298410966,0.12725886725886726,0.07541141141141142,0.458192363460609
1039,1039,Sehrou Guirassy,GUI,Stuttgart,Bundesliga,1996,13,FW,0.11930924664898124,0.02232696793408245,0.10193569761787474,0.16337995337995337,0.192,0.4712421459642339
1040,1040,Rafik Guitane,FRA,Reims,Ligue 1,1999,1,FW,0.0,0.00010080645161290323,0.0,0.0,0.0,0.0009666505558240697
1048,1048,Gorka Guruzeta,ESP,Athletic Club,La Liga,1996,14,FWMF,0.08933137295380887,0.16495149156218902,0.11098074309371309,0.2885635985635986,0.16,0.2532624456259062
1053,1053,Darko Gyabi,ENG,Leeds United,Premier League,2004,1,FW,0.006109739092145851,0.020528151180323764,0.012281464656540036,0.0,0.0,0.0033832769453842437
1054,1054,Emmanuel Gyasi,GHA,Spezia,Serie A,1994,19,FWDF,0.10156879940654,0.08165557497558046,0.10488834271797184,0.06589491589491589,0.032,0.7433542774287095
1056,1056,Christian Gytkj�r,DEN,Monza,Serie A,1990,14,FW,0.05059975165360742,0.053739757910215485,0.09040564959534192,0.18177030177030176,0.032,0.19913001449975834
1057,1057,Erling Haaland,NOR,Manchester City,Premier League,2000,20,FW,0.12861089105954385,0.11127517621620428,0.11338262460437118,0.20452529452529455,0.8096096096096097,0.7902368293861769
1063,1063,Andr� Hahn,GER,Augsburg,Bundesliga,1990,7,FWMF,0.05402788423640072,0.22882130492349814,0.09834916422485321,0.1404895104895105,0.064,0.18849685838569358
1068,1068,S�bastien Haller,CIV,Dortmund,Bundesliga,1994,5,FW,0.09858492506860106,0.04498087774307866,0.19718538734954993,0.18566433566433566,0.05422222222222223,0.11551474142097631
1071,1071,Romain Hamouma,FRA,Ajaccio,Ligue 1,1987,12,FWMF,0.16990106065356647,0.058770470010631876,0.1701694126622026,0.13904302904302906,0.07240840840840841,0.3006283228612856
1078,1078,Jack Harrison,ENG,Leeds United,Premier League,1996,19,FWMF,0.22972213188339471,0.13810158284193,0.24047529944851706,0.07451395451395453,0.04821621621621622,0.6413726437892702
1082,1082,Kai Havertz,GER,Chelsea,Premier League,1999,21,FWMF,0.153135020595994,0.11564819243019252,0.18308513996169845,0.14285705285705286,0.1636036036036036,0.7684871918801353
1083,1083,Eden Hazard,BEL,Real Madrid,La Liga,1991,3,FW,0.27879968738330085,0.04025608163660105,0.3476782465260191,0.040990990990990996,0.0,0.04736587723537941
1084,1084,Thorgan Hazard,BEL,Dortmund,Bundesliga,1993,14,FWDF,0.18602866467667029,0.2577624617352728,0.3318205778194786,0.0802053802053802,0.0,0.22377960367327213
1085,1085,Rhys Healey,WAL,Toulouse,Ligue 1,1994,3,FW,0.03104253496555604,0.08639112903225805,0.07374995772525209,0.35,0.032,0.028516191396810053
1088,1088,Hwang Hee-chan,KOR,Wolves,Premier League,1996,17,FW,0.10832702393581896,0.12677193912221352,0.1474303010441302,0.03636363636363637,0.0078078078078078084,0.333011116481392
1098,1098,Luiz Henrique,BRA,Betis,La Liga,2001,19,FW,0.21552239040826346,0.20085642352201255,0.09426531902142814,0.10321804321804322,0.0368048048048048,0.5601739971000483
1101,1101,Thomas Henry,FRA,Hellas Verona,Serie A,1994,16,FW,0.09878363136916284,0.03701357190794773,0.1420000633340905,0.0894040194040194,0.064,0.49685838569357177
1107,1107,Mario Hern�ndez,ESP,Rayo Vallecano,La Liga,1999,1,FW,0.00020120724346076458,0.0003707795083018456,0.0,0.0,0.0,0.0
1112,1112,Patrick Herrmann,GER,M'Gladbach,Bundesliga,1991,15,FWMF,0.15158738534751273,0.20265145446876115,0.2958221872658803,0.2015951615951616,0.032,0.07008216529724505
1119,1119,Adam Hlo?ek,CZE,Leverkusen,Bundesliga,2002,18,FWMF,0.10974952990236642,0.06462205321437883,0.16583253822047728,0.1503798903798904,0.11461861861861862,0.4238762687288545
1122,1122,Jonas Hofmann,GER,M'Gladbach,Bundesliga,1992,16,FW,0.12920088269720767,0.12581902516495405,0.30355812102763746,0.19856485856485856,0.24321921921921924,0.6771387143547607
1123,1123,Philipp Hofmann,GER,Bochum,Bundesliga,1993,20,FW,0.08376269510215764,0.061146847387587494,0.14835819525206662,0.16892521892521895,0.22760360360360363,0.7032382793620106
1125,1125,Lucas H�ler,GER,Freiburg,Bundesliga,1994,12,FWMF,0.09024301966128626,0.09557147079904302,0.15583597855041997,0.19605556605556607,0.064,0.18414693088448525
1128,1128,Noah Holm,NOR,Reims,Ligue 1,2001,8,FWMF,0.22182106823912995,0.18615003331534488,0.12447073393373206,0.0,0.0,0.09328177863702272
1129,1129,Gerrit Holtmann,PHI,Bochum,Bundesliga,1995,17,FW,0.09316369880942914,0.12582697181812058,0.18009632430522898,0.14975681975681976,0.03860660660660661,0.4016433059449009
1132,1132,Franck Honorat,FRA,Brest,Ligue 1,1996,22,FWMF,0.17451576095595672,0.12448716924173511,0.3192767128137969,0.08769356769356768,0.1056096096096096,0.8356694055099081
1135,1135,Ilyes Housni,FRA,Paris S-G,Ligue 1,2005,1,FW,0.002154573325238212,0.010562845772897646,0.018262405365589925,0.0,0.0,0.004833252779120348
1140,1140,Callum Hudson-Odoi,ENG,Leverkusen,Bundesliga,2000,12,FWMF,0.20143508712328434,0.06444451782530551,0.25666384832363687,0.014864864864864864,0.00960960960960961,0.26631222812953115
1143,1143,Adrien Hunou,FRA,Angers,Ligue 1,1994,21,FWMF,0.10481403933655017,0.1497645354737987,0.165028722239813,0.10861462861462862,0.09960360360360361,0.7675205413243112
1145,1145,Omari Hutchinson,ENG,Chelsea,Premier League,2003,1,FW,0.15159448041960877,0.06731013576235786,0.06938698256554293,0.0,0.0,0.010633156114064766
1148,1148,Rasmus H�jlund,DEN,Atalanta,Serie A,2003,18,FW,0.08428635824995295,0.041917425869698904,0.08821735033502215,0.19235620235620238,0.1654054054054054,0.4606089898501691
1153,1153,Mounaim El Idrissy,FRA,Ajaccio,Ligue 1,1999,21,FW,0.09659670649785605,0.11304578076343713,0.13102245448750327,0.011724941724941726,0.128,0.7675205413243112
1155,1155,Borja Iglesias,ESP,Betis,La Liga,1993,20,FW,0.10856424331812521,0.04522580360415633,0.11460662111849451,0.13233037233037231,0.2988108108108108,0.7148380860318995
1157,1157,Kelechi Iheanacho,NGA,Leicester City,Premier League,1996,16,FWMF,0.19672846756172585,0.058381252114157824,0.21196693755721382,0.1888880488880489,0.14524924924924926,0.21362977283711937
1158,1158,Jonathan Ikone,FRA,Fiorentina,Serie A,1998,19,FW,0.22108310677095255,0.050764557955497065,0.19835195406193573,0.06622377622377623,0.073009009009009,0.5640405993233446
1164,1164,Ciro Immobile,ITA,Lazio,Serie A,1990,17,FW,0.1665898859513055,0.05481524820649206,0.10596626008797017,0.20406980406980407,0.23781381381381383,0.5732237796036732
1165,1165,Danny Ings,ENG,West Ham,Premier League,1992,3,FW,0.1411581032830014,0.24910522098446952,0.09879494782606513,0.0,0.0,0.025132914451425813
1166,1166,Danny Ings,ENG,Aston Villa,Premier League,1992,18,FW,0.14919876444734578,0.06716361896533973,0.11499346226547588,0.07536445536445537,0.192,0.3977767037216046
1167,1167,Marcus Ingvartsen,DEN,Mainz 05,Bundesliga,1996,14,FWMF,0.1455671469660266,0.06237386815558994,0.13412794683800888,0.12584010584010585,0.192,0.305461575640406
1169,1169,Alexander Isak,SWE,Newcastle Utd,Premier League,1999,6,FW,0.18433852663135813,0.16145629285649382,0.13584377414078241,0.07771561771561772,0.096,0.18028032866118898
1170,1170,Alexander Isak,SWE,Real Sociedad,La Liga,1999,2,FW,0.17878118549091523,0.044024796927630075,0.11359111133215312,0.16501165501165502,0.032,0.07298211696471725
1176,1176,Junya Ito,JPN,Reims,Ligue 1,1993,19,FW,0.22548541225349003,0.12972377250527523,0.1772408141931286,0.12493920493920496,0.1316036036036036,0.7298211696471725
1180,1180,Nicolas Jackson,SEN,Villarreal,La Liga,2001,14,FW,0.13824296144202916,0.1657622581478492,0.13795341702937544,0.0814924714924715,0.07781381381381382,0.3818269695505075
1187,1187,Marin Jakoli�,CRO,Angers,Ligue 1,1996,1,FW,0.21803876226057342,0.18576365701690833,0.12207314161894603,0.3104895104895105,0.0,0.01304978250362494
1188,1188,Daniel James,WAL,Leeds United,Premier League,1997,4,FW,0.13554959862424362,0.21760158258344434,0.1511550535156964,0.04195804195804196,0.0,0.09521507974867086
1189,1189,Daniel James,WAL,Fulham,Premier League,1997,12,FW,0.11481526617467849,0.06388958725841995,0.08750986818816922,0.007995337995337996,0.032,0.1735137747704205
1195,1195,Adnan Januzaj,BEL,Sevilla,La Liga,1995,2,FW,0.007968982682137908,0.003042945920866441,0.01757419877326134,0.0,0.0,0.022232962783953602
1197,1197,Luis Javier Su�rez,COL,Almer�a,La Liga,1997,6,FW,0.19819340224212548,0.10370832153886206,0.15114851456139872,0.18627039627039627,0.064,0.1556307394876752
1198,1198,Luis Javier Su�rez,COL,Marseille,Ligue 1,1997,7,FW,0.14680915094704639,0.06699933922234454,0.1750371169623529,0.2665494865494865,0.0978018018018018,0.14113098115031417
1201,1201,Fredrik Jensen,FIN,Augsburg,Bundesliga,1997,15,FWMF,0.07341408051470344,0.11599176723757938,0.21135551399827435,0.059044289044289044,0.039207207207207204,0.3711938134364427
1204,1204,Gabriel Jesus,BRA,Arsenal,Premier League,1997,14,FW,0.2603931964980479,0.15060416301986385,0.19362010033780214,0.17769545769545766,0.18222222222222223,0.5886901884968584
1206,1206,Ra�l Jim�nez,MEX,Wolves,Premier League,1991,7,FW,0.1105004449908011,0.09883219972584295,0.1208781209333158,0.1161091161091161,0.0,0.1565973900434993
1211,1211,Brennan Johnson,WAL,Nott'ham Forest,Premier League,2001,22,FW,0.06206746719186379,0.11035089669806908,0.07752864237081583,0.08753732753732756,0.1606006006006006,0.8675688738521025
1220,1220,Willian Jos�,BRA,Betis,La Liga,1991,15,FW,0.04361612442081981,0.11160118328299269,0.1833808519253744,0.05926415926415926,0.0,0.16723054615756405
